C_MNTH,C_WDAY,C_HOUR,C_VEHS,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_TYPE,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,V_AGE
7,1,15,2,1,1,1,1,18,1,1,58,21,1,2,2,7
8,2,3,2,2,1,1,2,18,1,0,27,11,1,2,1,2
10,2,10,4,3,1,1,1,18,1,0,36,11,1,2,1,13
11,4,11,2,1,3,2,1,18,1,1,27,11,1,2,1,3
6,1,1,2,3,1,1,1,18,1,0,18,11,1,2,1,15
8,3,2,2,1,1,1,1,18,1,1,16,11,1,2,1,11
7,3,12,2,1,1,1,1,18,1,0,19,21,1,12,2,2
12,4,11,2,3,1,1,1,18,1,1,17,13,1,2,2,16
10,7,3,2,2,1,1,1,18,14,0,27,11,1,9,5,15
10,2,19,2,1,1,2,1,18,1,0,50,11,1,2,1,1
1,1,16,4,2,1,1,1,18,1,1,62,11,1,2,1,12
10,7,19,2,1,1,1,1,18,1,0,21,11,1,2,1,15
1,6,11,4,1,1,5,1,18,1,0,63,11,1,12,1,8
1,3,11,2,1,1,5,1,18,1,0,64,11,1,1,1,9
3,6,10,2,1,1,2,1,18,1,0,82,13,1,2,2,3
7,1,17,3,1,1,1,2,18,1,0,37,11,1,2,1,16
10,6,20,2,1,3,2,3,18,1,0,17,11,1,2,1,6
9,4,8,2,1,1,1,1,18,1,1,71,11,1,2,1,12
4,7,10,4,2,1,1,1,3,1,0,11,21,1,2,2,4
5,5,0,2,1,1,1,1,18,1,1,25,11,1,2,1,17
11,3,15,2,1,1,1,1,18,1,1,20,11,1,2,1,3
5,3,19,2,1,1,1,1,18,1,0,33,11,1,2,1,18
12,3,10,2,2,1,1,1,3,1,0,3,21,1,2,2,4
5,2,15,2,1,1,1,1,18,1,1,44,11,1,2,1,9
9,2,19,2,1,1,1,4,18,1,0,3,22,1,2,2,14
8,3,1,2,2,1,1,1,18,1,0,33,11,1,2,1,1
7,7,6,2,2,1,1,1,18,1,1,28,13,1,2,2,6
7,7,16,2,1,1,1,1,18,1,1,39,11,1,2,1,3
3,6,14,2,1,1,2,1,18,1,1,14,13,1,1,2,11
8,1,11,2,1,1,1,1,18,1,1,17,13,1,1,2,7
10,5,5,2,1,1,2,1,3,1,1,26,11,1,2,1,18
5,6,20,4,1,2,1,1,18,1,0,64,11,1,2,1,6
5,7,4,2,1,1,2,1,18,1,1,25,11,1,2,1,6
6,3,22,3,2,1,1,1,18,1,0,60,11,1,2,1,1
6,6,10,2,1,1,1,1,18,1,1,34,11,1,2,1,13
11,1,18,3,1,1,1,1,8,1,0,81,11,1,2,1,13
7,6,0,4,1,1,1,3,18,1,1,19,13,1,2,2,6
11,6,21,2,1,5,5,1,18,1,1,21,13,1,2,2,1
7,7,22,3,2,2,1,1,4,1,1,39,11,1,12,1,13
5,5,5,2,2,1,1,1,18,1,0,47,11,1,2,1,3
5,1,3,2,1,1,1,1,18,1,0,18,11,1,2,1,10
7,4,23,2,1,1,1,1,18,1,1,41,11,1,2,1,2
9,3,8,2,3,1,1,3,18,1,1,52,11,1,2,1,11
10,5,14,2,1,1,1,2,18,1,1,29,11,1,2,1,8
10,6,17,2,1,1,2,1,18,1,1,42,22,1,1,2,11
5,3,13,3,1,1,1,5,1,1,1,88,11,1,2,1,4
6,3,1,3,1,1,1,1,18,1,1,19,11,1,2,1,15
4,6,6,3,1,3,2,2,18,1,1,22,11,1,2,1,13
11,1,7,2,1,1,1,1,18,7,0,42,11,1,1,1,6
11,7,21,2,1,1,1,1,18,1,1,19,11,1,2,1,19
11,6,18,2,1,1,1,1,18,1,0,35,11,1,2,1,14
10,7,16,2,2,3,2,1,18,1,1,29,11,1,2,1,2
5,3,16,2,2,1,1,1,3,1,0,71,11,1,2,1,15
2,6,8,2,5,1,1,6,18,1,0,67,11,1,1,1,12
7,4,0,2,1,2,2,1,18,1,0,19,22,1,1,2,16
1,4,17,2,1,1,5,1,18,1,0,6,23,1,2,2,6
1,2,22,3,1,4,3,1,18,1,0,22,11,1,2,1,11
2,4,9,3,1,1,5,3,18,1,1,30,11,1,2,1,15
8,5,23,3,2,1,2,1,18,1,0,25,11,1,2,1,7
5,6,19,3,2,2,2,1,3,1,0,17,11,1,2,1,2
6,7,2,3,2,1,1,2,18,1,0,36,11,1,2,1,2
9,1,18,2,1,1,1,1,18,1,1,76,11,1,2,1,8
12,3,1,3,2,2,2,1,3,1,0,31,11,1,1,1,9
9,2,17,2,1,1,1,1,18,1,1,70,13,1,2,2,1
8,6,18,3,1,1,1,1,18,1,1,50,11,1,2,1,12
12,6,4,2,2,1,3,1,18,1,1,21,21,1,2,2,9
1,7,18,2,1,5,5,2,18,1,0,3,23,1,2,2,13
2,2,7,8,5,1,5,1,18,1,1,18,11,1,2,1,10
3,1,7,2,1,1,1,1,18,1,1,37,11,1,2,1,12
4,7,11,2,1,1,1,1,18,1,0,26,11,1,2,1,11
1,6,13,2,1,4,5,4,18,1,1,29,11,1,12,1,3
8,1,6,2,1,1,1,3,18,1,1,17,11,1,2,1,11
3,3,18,2,3,1,1,1,18,1,0,23,11,1,2,1,14
3,2,20,3,1,1,1,2,18,1,0,35,11,1,12,1,12
6,1,23,2,1,1,1,1,18,1,1,56,11,1,2,1,12
1,7,5,3,1,2,2,1,1,1,1,20,13,1,2,2,13
9,6,9,2,1,1,1,1,18,1,0,27,12,1,1,2,0
3,3,22,2,1,1,1,1,18,1,1,50,21,1,2,2,12
8,1,7,2,3,1,1,2,3,1,0,28,11,1,2,1,15
7,5,10,2,2,1,1,1,1,1,0,8,22,1,2,2,10
8,4,15,3,1,1,1,1,18,1,0,80,11,1,2,1,11
10,6,11,3,1,1,1,1,18,1,1,81,11,1,2,1,7
5,6,15,2,1,1,1,1,18,1,0,66,11,1,2,1,1
10,2,8,2,1,1,1,1,18,1,1,18,11,1,2,1,9
10,6,21,2,1,1,1,1,18,1,1,39,11,1,2,1,14
10,4,15,4,1,2,1,1,1,1,1,33,11,1,2,1,6
7,4,15,2,1,1,1,1,18,1,1,94,11,1,2,1,17
8,1,17,2,1,1,1,1,18,1,0,31,11,1,2,1,14
10,5,16,3,1,1,1,4,18,1,1,84,11,1,12,1,6
10,5,22,3,1,1,1,1,18,1,0,72,11,1,2,1,11
9,3,22,2,3,1,1,1,18,1,1,34,11,1,2,1,11
7,6,9,2,1,1,1,3,18,1,1,86,23,1,2,2,15
8,3,8,2,1,1,1,1,18,1,0,26,11,1,2,1,17
7,7,22,2,1,1,1,1,18,1,1,20,13,1,2,2,1
12,3,13,2,1,1,1,1,18,1,1,38,11,1,2,1,3
12,7,4,3,1,2,1,1,18,1,0,27,11,1,2,1,3
7,7,1,3,1,1,1,1,18,1,1,21,11,1,2,1,18
8,5,14,4,1,1,1,1,18,1,1,36,11,1,2,1,7
7,5,3,3,1,1,1,1,18,1,1,43,11,1,2,1,4
12,6,11,4,1,1,1,1,18,1,0,33,11,1,2,1,5
12,5,13,3,1,1,5,1,18,1,1,20,11,1,2,1,7
4,2,7,3,8,1,1,1,18,1,0,20,11,1,12,1,2
7,6,11,2,1,1,1,2,18,1,0,24,11,1,2,1,13
2,1,5,3,1,1,1,1,18,1,1,44,11,1,1,1,14
3,6,10,2,1,1,1,1,18,1,0,59,11,1,2,1,16
10,3,12,2,1,1,1,1,18,1,1,22,11,1,2,1,14
4,3,7,2,2,1,1,1,1,1,0,49,11,1,2,1,16
7,6,16,2,1,2,2,3,18,14,0,18,11,1,9,5,7
6,2,22,3,1,1,1,1,18,1,1,25,11,1,2,1,18
3,3,4,4,1,3,2,1,18,1,0,45,11,1,12,1,12
8,7,2,2,1,1,1,1,18,1,0,21,13,1,1,2,4
5,4,15,2,1,1,1,1,18,1,1,35,13,1,2,2,4
3,7,20,4,1,1,1,1,18,1,1,21,13,1,1,2,6
11,6,18,2,1,2,2,1,18,1,1,69,11,1,2,1,9
8,5,5,2,1,6,1,1,18,1,0,62,11,1,2,1,9
2,7,12,3,2,2,2,6,3,1,0,40,11,1,2,1,7
10,5,18,3,1,1,1,1,18,1,1,65,11,1,2,1,9
12,1,18,4,2,4,5,1,3,1,0,14,13,1,2,2,11
2,1,17,3,1,1,2,1,18,1,1,92,13,1,2,2,17
10,7,18,2,3,1,1,1,18,1,0,45,11,1,2,1,15
11,5,16,2,1,1,1,1,18,1,1,25,13,1,2,2,8
3,5,17,2,2,1,5,3,3,1,0,40,11,1,12,1,6
12,3,19,2,1,1,1,3,18,1,0,24,11,1,2,1,5
7,2,9,2,1,1,1,1,18,1,0,75,11,1,2,1,2
12,5,23,3,1,1,1,3,18,1,1,36,11,1,12,1,10
10,4,8,2,1,1,1,1,18,1,0,53,11,1,2,1,2
8,1,0,3,1,1,1,1,18,1,1,17,11,1,2,1,12
6,4,17,2,2,1,1,1,1,1,0,50,11,1,2,1,5
7,2,20,3,1,2,1,1,18,1,0,57,11,1,2,1,3
12,6,13,2,1,5,5,1,18,1,1,48,11,1,2,1,11
5,1,10,3,1,1,1,1,18,1,1,27,11,1,2,1,12
11,7,18,3,1,1,1,1,18,1,0,23,11,1,2,1,4
